what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322237904564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1322237908863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322237911141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322237912410
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322237912472
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322237915090
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322237938318
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322237944213
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238113886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238114027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238118639
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322238118791
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322238118886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238123068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238149091
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238156076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238157664
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238164453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238241026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238257306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238278436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238283981
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238318015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238320421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238449056
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238456941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238474273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238474792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238475006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238475561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238476412
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322238476471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238481966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238494088
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238496172
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238506082
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322238509342
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239051250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239051404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239052864
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322239052919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239061503
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239513722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239519173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239634658
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239639434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239762037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239772713
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239817634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239817756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239820891
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322239820956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239824245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239979622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322239990359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322240082321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322240094940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322240325340
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322240330070
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241320254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241320385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241322579
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322241322636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241326090
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241354453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241357339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241454281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241459446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241654822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241656979
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241754727
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241754906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241760049
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322241760102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241765032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241775525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241777024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241831509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241834030
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241898426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241900293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241926448
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322241957585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322242016307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322242019554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322242033190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322242035505
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322242046120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322242050508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322242136190
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1322242144646
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1322242144894
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1322242145415
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1322242154151
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1322242169030
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322242176029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1322242177483
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1322242191333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1322242192413
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1322242195091
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1322242196420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1322242197353
